Comment,Feeling
,normal
,normal
,normal
,normal
,normal
,normal
,normal
,normal
,normal
,normal
,normal
,normal
,normal
,normal
,normal
,normal
,normal
,normal
,normal
,normal
,normal
,normal
,normal
,normal
,normal
,normal
,normal
,normal
,normal
,normal
,normal
,normal
,normal
,normal
,normal
,normal
,normal
,normal
,normal
,normal
,normal
,normal
,normal
,normal
,normal
,normal
,normal
